grad_norm,fns
9.259466423827689e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00000.pt
1.7131882486864924e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00027.pt
1.0794662557600532e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00027.pt
1.2622826943697874e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00036.pt
1.7325348380836658e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00036.pt
7.550816371804103e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00004.pt
8.504183642799035e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00004.pt
1.1481251931400038e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00003.pt
8.395066288358066e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00003.pt
2.3725871869828552e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00037.pt
2.139236676157452e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00037.pt
9.206073627865408e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00005.pt
9.290931302530225e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00005.pt
1.6087777112261392e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00017.pt
4.44791157860891e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00017.pt
1.1095477930211928e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00044.pt
9.944148587237578e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00044.pt
4.035379788547289e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_48_20200107.pt
3.6968343920307234e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_48_20200107.pt
1.402868474542629e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41b_20221122.pt
9.58575401455164e-06,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41b_20221122.pt
5.635028355754912e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_60_20190729.pt
7.469979027519003e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_60_20190729.pt
1.9739169147214852e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72b_20170224.pt
2.823605065038759e-12,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72b_20170224.pt
1.8740516679827124e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_33_20200923.pt
5.319247065926902e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_33_20200923.pt
4.2436855437699705e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_76_20210528.pt
3.447415292612277e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_76_20210528.pt
2.7833400963572785e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72_20161221.pt
5.184542169445194e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72_20161221.pt
1.697783955023624e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_40_20171117.pt
1.802976657927502e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_40_20171117.pt
1.602490920049604e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_15_20190809.pt
2.3910566596896388e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_15_20190809.pt
1.1950535736104939e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_44_20190909.pt
1.6335705367964692e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_44_20190909.pt
1.2380440239212476e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41_20210112.pt
1.744557448546402e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41_20210112.pt
3.497317447909154e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_71_20191010.pt
5.1386465202085674e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_71_20191010.pt
5.844620318384841e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_77_20210306.pt
4.104786421521567e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_77_20210306.pt
4.3338317482266575e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_49_20171222.pt
7.625699072377756e-05,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_49_20171222.pt
