/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_48_20200107.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41b_20221122.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_60_20190729.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72b_20170224.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_33_20200923.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_76_20210528.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_72_20161221.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_40_20171117.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_15_20190809.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_44_20190909.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_41_20210112.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_71_20191010.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_77_20210306.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_49_20171222.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_11_20190927.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_50_20190716.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_31_20220826.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_pt5_20200117.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_47_20200217.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litq_46_20190917.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00016.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00033.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00001.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00000.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00027.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00036.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00004.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00003.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00037.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00005.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00017.pt,/r/datasets/preprocessed/litsmc/lbd/spc_080_080_150_plan7/images/litqsmall_00044.pt
,,,,,,,,,,,,,,,,,,,,,,,,,3.33786010742188E-05,2.95639038085938E-05,3.95774841308594E-05,3.79085540771484E-05,2.50339508056641E-05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43730163574219E-05,6.03199005126953E-05
5.03063201904297E-05,2.09808349609375E-05,2.72989273071289E-05,3.95774841308594E-05,4.43458557128906E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.62532043457031E-05,5.62667846679688E-05,2.78949737548828E-05,2.47955322265625E-05,2.89678573608398E-05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.86102294921875E-05,4.76837158203125E-05,2.90870666503906E-05,4.48226928710938E-05,3.19480895996094E-05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.69548797607422E-05,3.62396240234375E-05,3.79085540771484E-05,2.98023223876953E-05,5.29289245605469E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.71932983398438E-05,4.64916229248047E-05,4.86373901367188E-05,3.98159027099609E-05,3.02791595458984E-05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2.81333923339844E-05,2.58684158325195E-05,5.10215759277344E-05,6.34193420410156E-05,4.41074371337891E-05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.53538513183594E-05,9.10758972167969E-05
4.10079956054688E-05,4.43458557128906E-05,4.93526458740234E-05,3.33786010742188E-05,4.76837158203125E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.53266906738281E-05,3.38554382324219E-05,4.43458557128906E-05,2.11000442504883E-05,3.36170196533203E-05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4.22000885009766E-05,4.24385070800781E-05,2.71797180175781E-05,3.95774841308594E-05,2.65836715698242E-05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.71932983398438E-05,4.10079956054688E-05,3.71932983398438E-05,3.4332275390625E-05,5.03063201904297E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3.50475311279297E-05,4.41074371337891E-05,2.78949737548828E-05,3.98159027099609E-05,2.21729278564453E-05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2.32458114624023E-05,2.14576721191406E-05,2.9444694519043E-05,6.07967376708984E-05,2.52723693847656E-05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82148742675781E-05,8.15391540527344E-05
4.88758087158203E-05,3.45706939697266E-05,3.55243682861328E-05,2.75373458862305E-05,2.9444694519043E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.05447387695313E-05,4.07695770263672E-05,3.00407409667969E-05,4.24385070800781E-05,3.98159027099609E-05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3.07559967041016E-05,5.31673431396484E-05,4.29153442382813E-05,3.88622283935547E-05,4.60147857666016E-05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.62396240234375E-05,4.45842742919922E-05,4.14848327636719E-05,3.95774841308594E-05,4.88758087158203E-05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2.288818359375E-05,3.57627868652344E-05,4.43458557128906E-05,3.88622283935547E-05,4.29153442382813E-05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2.65836715698242E-05,2.74181365966797E-05,3.48091125488281E-05,4.9591064453125E-05,3.38554382324219E-05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96318054199219E-05,7.86781311035156E-05
6.29425048828125E-05,3.40938568115234E-05,4.69684600830078E-05,2.99215316772461E-05,4.88758087158203E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.41074371337891E-05,4.1961669921875E-05,2.96831130981445E-05,3.02791595458984E-05,3.36170196533203E-05,,,,,,,,,,,,,,,,,,,,,,
